time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
2015-01-01T00:30:00+07:00,2076.09,2078.27,2074.58,2076.15,720,680.6,2052.32404494382,-1.94895836695526,-0.761319428261231,1.18763893869403,38.8438116291595,49.8892487424962
2015-01-01T01:30:00+07:00,2076.37,2078.2,2068.24,2070.27,720,680.6,2052.63449438202,-2.253591689103,-1.62935067268472,0.624241016418281,32.1569141209062,47.457808983228
2015-01-01T02:30:00+07:00,2070.21,2071.04,2065.53,2069.9,720,693.55,2052.92101123596,-2.35569657527275,-2.32037970267265,0.0353168726000942,31.7861060006975,44.9793022509237
2015-01-01T03:30:00+07:00,2069.94,2070.31,2057.94,2058.9,467,680.9,2053.18584269663,-2.99852071192435,-3.71283401730534,-0.714313305380993,23.2152545980214,42.1853354115298
2015-01-02T21:30:00+07:00,2058.9,2072.36,2058.9,2063.7,3600,824.9,2053.62640449438,-2.9314059722852,-4.3785707707375,-1.44716479845229,31.8506387708792,40.9546498491434
2015-01-02T22:30:00+07:00,2063.72,2063.74,2048.78,2053.12,3600,968.9,2054.07539325843,-3.39766796668489,-5.6942497568084,-2.29658179012352,25.1395457988474,39.1454688706974
2015-01-02T23:30:00+07:00,2053.15,2056.96,2050.58,2054.33,3600,1112.9,2054.45741573034,-3.41364371156383,-6.56363642957831,-3.14999271801447,27.0331325088313,37.6009258338965
2015-01-03T00:30:00+07:00,2054.34,2056.32,2048.08,2048.14,3600,1256.9,2054.73224719101,-3.61102161151529,-7.66376973240858,-4.0527481208933,23.7266974743942,35.9590944585154
2015-01-03T01:30:00+07:00,2048.14,2055.28,2046.04,2053.3,3600,1400.9,2055.12134831461,-3.17919125923762,-8.02673719494032,-4.8475459357027,31.2730083291326,35.1304613405345
2015-01-03T02:30:00+07:00,2053.28,2056.5,2050.44,2054.89,3600,1558.1,2055.55393258427,-2.59620566474957,-8.09280301663966,-5.49659735189009,33.4577092591642,34.165798336135
2015-01-03T03:30:00+07:00,2054.9,2062.3,2054.7,2058.2,2099,1627.05,2056.18157303371,-1.83335630137413,-7.78829272860776,-5.95493642723363,37.8844163129472,33.7408512436115
2015-01-05T21:30:00+07:00,2054.44,2054.44,2032.79,2036.19,3599,1771,2056.52157303371,-2.60944629437964,-9.21674429520817,-6.60729800082854,25.6602232987143,32.0256249500133
2015-01-05T22:30:00+07:00,2036.16,2036.16,2025.34,2026.13,3600,1915,2056.93101123596,-3.54086120333152,-11.0333745049929,-7.49251330166142,22.1432883518895,30.1864458946143
2015-01-05T23:30:00+07:00,2026.09,2032.12,2023.27,2023.27,3600,2059,2057.24292134831,-4.05324693342476,-12.5590719684424,-8.50582503501761,21.2515306766904,28.9587340807339
2015-01-06T00:30:00+07:00,2023.25,2025.55,2019.28,2020.63,3600,2203,2057.54449438202,-4.25285512981623,-13.8218939472879,-9.56903881747166,20.4334991137011,27.6437117582012
2015-01-06T01:30:00+07:00,2020.64,2024.71,2019.54,2020.91,3600,2347,2057.79561797753,-4.04991594064704,-14.6314337432805,-10.5815178026334,20.7817912351233,26.8312029806453
2015-01-06T02:30:00+07:00,2020.92,2022.67,2017.34,2020.91,3600,2504.25,2058.13752808989,-3.61394462471075,-15.0989485835219,-11.4850039588111,20.7817912351233,26.04518049739
2015-01-06T03:30:00+07:00,2020.92,2026.6,2019.88,2020.58,2097,2573.1,2058.48528089888,-3.06759054132402,-15.3194921354661,-12.2519015941421,20.6581877018226,25.8625328619472
2015-01-06T21:30:00+07:00,2022.15,2030.25,2020.62,2029.3,3599,2717.05,2058.89494382022,-1.89614994472372,-14.6220890250468,-12.725939080323,32.1431332098115,25.8834253218709
2015-01-06T22:30:00+07:00,2029.29,2029.29,2008.84,2009.52,3600,2861.05,2058.84966292135,-2.2088077928944,-15.486948821441,-13.2781410285466,23.7462752620105,25.7839059978111
2015-01-06T23:30:00+07:00,2009.56,2009.61,1995.61,1999.26,3600,3005.05,2058.78528089888,-2.82270127413932,-16.8065176212208,-13.9838163470815,20.7223359856764,25.3331348175858
2015-01-07T00:30:00+07:00,1999.23,2005.07,1992.44,1996.12,3600,3149.05,2058.84629213483,-3.13240683003409,-17.8993248846241,-14.76691805459,19.8876409889767,25.0589164971988
2015-01-07T01:30:00+07:00,1996.12,2004.06,1994.66,2004,3600,3293.05,2058.93404494382,-2.52480796635769,-17.9229280125371,-15.3981200461794,27.7525364870306,24.807454222763
2015-01-07T02:30:00+07:00,2004.01,2016.58,2003.02,2015.98,3600,3449.7,2059.27011235955,-1.1067048303532,-16.7815010841209,-15.6747962537677,37.7571078082075,25.1145541191232
2015-01-07T03:30:00+07:00,2015.99,2016.03,2002.02,2002.61,2173,3378.35,2059.60573033708,-0.870188001830107,-16.7625312560554,-15.8923432542252,32.3697640662023,24.7206503872129
2015-01-07T21:30:00+07:00,2005.55,2024.64,2005.55,2019.35,3599,3378.3,2060.03921348315,0.536868009344387,-15.2212582425448,-15.7581262518892,43.2818284220524,25.9793364674513
2015-01-07T22:30:00+07:00,2019.35,2021.19,2011.95,2013.67,3600,3378.3,2060.30157303371,1.17181944835437,-14.2933519414462,-15.4651713898006,40.872087247865,27.3171078171638
2015-01-07T23:30:00+07:00,2013.7,2029.61,2013.61,2027.09,3600,3378.3,2060.70606741573,2.50579206140242,-12.3329313130475,-14.83872337445,48.208920163377,29.2426356376414
2015-01-08T00:30:00+07:00,2027.07,2027.85,2020.41,2020.93,3600,3378.3,2061.0091011236,2.95270749085812,-11.1478390108773,-14.1005465017354,45.422781753077,31.0275843975969
2015-01-08T01:30:00+07:00,2020.93,2027.71,2020.93,2024.11,3600,3378.3,2061.21202247191,3.4095317799009,-9.8386317768593,-13.2481635567602,47.1217431269226,32.9090095327254
2015-01-08T02:30:00+07:00,2024.11,2027.53,2020.81,2023.9,3600,3453.35,2061.36325842697,3.62450637312274,-8.71753059035677,-12.3420369634795,47.0176529102159,34.7829996523749
2015-01-08T03:30:00+07:00,2023.88,2025.9,2022.14,2025.9,2062,3376.5,2061.50943820225,3.8094009928563,-7.58028572240914,-11.3896867152654,48.1914298049458,36.749659802598
2015-01-08T21:30:00+07:00,2030.61,2054.91,2030.61,2053.3,3599,3376.45,2061.63471910112,5.57803585200631,-4.41714190025755,-9.99517775226386,60.953956140681,38.8075757262315
2015-01-08T22:30:00+07:00,2053.32,2060.65,2052.5,2057.59,3600,3376.45,2061.85943820225,6.75907396637493,-1.5463352942952,-8.30540926067013,62.5111014363392,41.5764918815407
2015-01-08T23:30:00+07:00,2057.72,2059.37,2055.01,2056.96,3600,3376.45,2062.01415730337,7.18051765245439,0.670237804897852,-6.51027984755653,62.1193174183737,44.5334191267334
2015-01-09T00:30:00+07:00,2056.95,2062.02,2056.95,2061.25,3600,3376.45,2062.16224719101,7.40138654602846,2.74145333497904,-4.65993321104942,63.7838535564507,47.6688628815529
2015-01-09T01:30:00+07:00,2061.24,2061.72,2056.52,2061.11,3600,3376.45,2062.35662921348,7.18537922527276,4.32179082054154,-2.86358840473123,63.6855042162316,50.2355034336387
2015-01-09T02:30:00+07:00,2061.1,2064.08,2061.1,2063.1,3600,3451.6,2062.49741573034,6.82642450898748,5.66944223150313,-1.15698227748436,64.5228769495601,52.1473440865925
2015-01-09T03:30:00+07:00,2063.1,2063.16,2059.03,2062.14,2122,3377.75,2062.50764044944,6.19286922334599,6.58410425169814,0.391235028352142,63.7590699913857,54.3894373669627
2015-01-09T21:30:00+07:00,2063.45,2064.43,2049.43,2049.86,3599,3377.7,2062.29224719101,4.68388087963816,6.24608612789984,1.56220524826168,54.819497430967,55.2135565818852
2015-01-09T22:30:00+07:00,2049.86,2049.86,2038.33,2040.92,3600,3377.7,2061.99202247191,2.90776720272813,5.19691425167184,2.28914704894371,49.3902476865277,55.8219966132182
2015-01-09T23:30:00+07:00,2040.89,2051.22,2038.5,2047.47,3600,3377.7,2061.81516853933,2.03923957877634,4.83819652241414,2.7989569436378,53.0584294728761,56.1683901353253
2015-01-10T00:30:00+07:00,2047.49,2049.31,2042.64,2046.35,3600,3377.7,2061.59617977528,1.29096964219943,4.41266899638708,3.12169935418766,52.3595949956092,56.6638767955062
2015-01-10T01:30:00+07:00,2046.39,2049.19,2044.97,2046.26,3600,3377.7,2061.34280898876,0.720090253604643,4.02181217119346,3.30172191758882,52.299983412791,57.0337511016396
2015-01-10T02:30:00+07:00,2046.26,2053.38,2044.39,2048.56,3600,3449.05,2061.03561797753,0.441205249919566,3.85322847998827,3.41202323006871,53.7491687375716,57.5145736607365
2015-01-10T03:30:00+07:00,2048.65,2050.32,2044.48,2044.81,2094,3373.8,2060.74516853933,-0.0271461795547081,3.37809050562532,3.40523668518003,51.027127897052,57.7171235244583
2015-01-12T21:30:00+07:00,2046.13,2049.3,2022.58,2026.05,3597,3373.65,2060.2093258427,-1.54754100056077,1.47081043447906,3.01835143503984,40.0891709492875,56.2267817250731
2015-01-12T22:30:00+07:00,2025.98,2035.68,2025.17,2032.96,3600,3373.65,2059.76898876405,-2.00590803988593,0.510966385182428,2.51687442506836,44.7841010332915,54.9605674105697
2015-01-12T23:30:00+07:00,2032.92,2034.68,2028.79,2032.7,3600,3373.65,2059.3395505618,-2.22758906233007,-0.267611902844237,1.95997715948584,44.6423419964055,53.7122120232862
2015-01-13T00:30:00+07:00,2032.69,2034.17,2026.31,2026.31,3600,3373.65,2058.80876404494,-2.67542414239037,-1.38430301850212,1.29112112388825,41.1913414931725,52.0984611616235
