,time,open,high,low,close,MA,Histogram,MACD,Signal,RSI,RSI-based MA
0,2013-07-09 10:00:00+07:00,483.68,484.68,481.14,484.68,490.5776404,-0.470214085,-0.518525343,-0.048311258,47.81619087,48.16779816
1,2013-07-09 11:00:00+07:00,484.73,484.92,484.18,484.56,490.2398876,-0.370609395,-0.511573001,-0.140963606,47.51059677,47.73948832
2,2013-07-09 13:00:00+07:00,484.3,485.25,483.33,485.25,489.9046067,-0.243431822,-0.445253383,-0.201821562,49.50879359,47.60407839
3,2013-07-09 14:00:00+07:00,485.5,485.5,485.5,485.5,489.5583146,-0.1331639,-0.368276436,-0.235112537,50.24781059,47.39913114
4,2013-07-10 09:00:00+07:00,487.81,489.83,486.87,487.11,489.2566292,0.047820484,-0.175336931,-0.223157416,54.83274309,47.62162226
5,2013-07-10 10:00:00+07:00,487.09,488.4,486.37,486.37,488.9591011,0.113560573,-0.081206699,-0.194767272,52.44064333,47.66376363
6,2013-07-10 11:00:00+07:00,486.34,487.17,485.73,486.48,488.6661798,0.157607754,0.00224242,-0.155365334,52.77047967,47.96155939
7,2013-07-10 13:00:00+07:00,486.45,486.55,484.47,485.0,488.3961798,0.083919908,-0.050465449,-0.134385357,47.95186959,47.9648627
8,2013-07-10 14:00:00+07:00,484.43,484.43,484.43,484.43,488.1539326,-0.001816329,-0.136655769,-0.134839439,46.20206344,48.15354764
9,2013-07-11 09:00:00+07:00,484.38,485.44,482.11,483.07,487.8902247,-0.141021644,-0.311116495,-0.17009485,42.24137086,47.81390555
10,2013-07-11 10:00:00+07:00,483.33,484.57,482.17,482.17,487.6494382,-0.276765426,-0.516051633,-0.239286207,39.80926642,47.41413875
11,2013-07-11 11:00:00+07:00,483.54,484.01,483.39,483.39,487.4617978,-0.267299422,-0.573410484,-0.306111062,44.47613837,47.54817537
12,2013-07-11 13:00:00+07:00,483.71,485.07,482.69,484.33,487.3023596,-0.184574676,-0.536829407,-0.352254731,47.83235647,47.91421458
13,2013-07-11 14:00:00+07:00,484.47,484.47,484.47,484.47,487.171573,-0.110902786,-0.490883214,-0.379980428,48.3332741,47.99811408
14,2013-07-12 09:00:00+07:00,485.14,487.57,485.13,485.27,487.0194382,-0.004394626,-0.38547371,-0.381079084,51.21591094,48.24095123
15,2013-07-12 10:00:00+07:00,486.14,488.94,486.14,488.08,486.9079775,0.24539486,-0.074335509,-0.319730369,59.71744044,49.11286864
16,2013-07-12 11:00:00+07:00,488.31,489.9,487.73,489.9,486.8208989,0.508157135,0.31546605,-0.192691085,64.08325772,50.15390179
17,2013-07-12 13:00:00+07:00,489.36,492.66,489.36,491.51,486.7380899,0.750716169,0.745704126,-0.005012043,67.44458574,51.38224287
18,2013-07-12 14:00:00+07:00,493.99,493.99,493.99,493.99,486.625618,1.02170719,1.272121945,0.250414755,71.81953134,52.59558489
19,2013-07-15 09:00:00+07:00,496.12,498.32,493.48,496.32,486.5616854,1.284411706,1.855929387,0.571517681,75.19256186,54.22072193
20,2013-07-15 10:00:00+07:00,495.89,496.43,492.95,494.69,486.4782022,1.272505614,2.162149698,0.889644084,68.97289818,55.37803753
21,2013-07-15 11:00:00+07:00,494.71,496.44,494.71,495.77,486.3877528,1.25914862,2.46357986,1.204431239,70.70211377,57.00305498
22,2013-07-15 13:00:00+07:00,495.82,496.06,493.08,494.62,486.2894382,1.100399181,2.579930216,1.479531035,66.4549957,58.449693
23,2013-07-15 14:00:00+07:00,494.1,494.1,494.1,494.1,486.1905618,0.896539577,2.600205506,1.703665929,64.56631677,60.04433199
24,2013-07-16 09:00:00+07:00,494.66,497.09,493.74,496.7,486.118764,0.87216017,2.793866142,1.921705972,69.26915172,62.14860951
25,2013-07-16 10:00:00+07:00,497.35,497.83,495.71,497.32,486.0841573,0.833206678,2.963214319,2.130007641,70.28204883,63.99188883
26,2013-07-16 11:00:00+07:00,496.97,497.57,494.94,496.45,486.0549438,0.690173072,2.992723981,2.302550909,66.94749774,65.35725606
27,2013-07-16 13:00:00+07:00,495.64,497.05,494.95,497.05,486.0273034,0.581641047,3.029602218,2.447961171,68.07255295,66.76720455
