,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
116,2008-02-14 00:30:00+07:00,1353.12,1363.15,1353.12,1355.16,235,215.45,1354.256966,3.523203563,0.141506061,-3.381697501,56.15741861,46.26515683
117,2008-02-14 01:30:00+07:00,1355.07,1357.9,1350.78,1357.9,236,215.45,1353.722022,3.528047447,1.028361807,-2.49968564,57.82766411,47.58328116
118,2008-02-14 02:30:00+07:00,1357.87,1360.33,1355.1,1357.3,232,215.5,1353.114944,3.330635982,1.663609337,-1.667026644,57.31276643,48.67764031
119,2008-02-14 03:30:00+07:00,1357.78,1362.17,1357.0,1361.69,152,215.25,1352.576966,3.327662365,2.492551313,-0.835111053,60.11131565,49.99084581
120,2008-02-15 00:30:00+07:00,1367.33,1368.16,1361.14,1365.78,232,215.0,1352.097978,3.419984794,3.439869939,0.019885145,62.57316522,51.65152219
121,2008-02-15 01:30:00+07:00,1366.37,1366.92,1354.73,1357.08,235,214.8,1351.507416,2.743174485,3.448853251,0.705678767,54.82230791,52.81921836
122,2008-02-15 02:30:00+07:00,1357.35,1359.95,1353.83,1359.95,234,214.95,1350.923371,2.351884312,3.645534157,1.293649845,56.72658489,54.35681003
123,2008-02-15 03:30:00+07:00,1359.25,1359.26,1351.97,1352.0,154,214.8,1350.297753,1.464197165,3.123896301,1.659699136,50.39045243,55.10910341
124,2008-02-16 00:30:00+07:00,1347.52,1347.52,1338.62,1345.24,237,214.95,1349.581461,0.384517855,2.140346455,1.7558286,45.71463919,55.4655452
125,2008-02-16 01:30:00+07:00,1345.13,1348.58,1341.15,1342.81,234,214.9,1349.030112,-0.483445757,1.151521403,1.63496716,44.12944799,55.31478514
126,2008-02-16 02:30:00+07:00,1342.95,1344.08,1339.0,1339.36,227,214.35,1348.483933,-1.237202133,0.088464494,1.325666627,41.90758877,54.17642069
127,2008-02-16 03:30:00+07:00,1339.33,1340.86,1338.13,1338.9,154,214.4,1347.916404,-1.686227821,-0.782118149,0.904109672,41.60679027,52.90460329
128,2008-02-20 00:30:00+07:00,1355.86,1367.28,1355.86,1360.54,234,214.2,1347.58,-0.506501925,0.270982266,0.777484191,57.1783077,53.04668431
129,2008-02-20 01:30:00+07:00,1360.92,1360.92,1353.37,1354.54,234,214.15,1347.371124,-0.130515078,0.614340343,0.744855421,52.96128643,52.8156954
130,2008-02-20 02:30:00+07:00,1354.89,1360.67,1354.62,1360.37,228,213.95,1347.209888,0.477254285,1.341423277,0.864168992,56.33140875,52.82812327
131,2008-02-20 03:30:00+07:00,1359.36,1359.55,1356.18,1358.82,153,213.65,1346.98764,0.726378046,1.77214155,1.045763504,55.19908674,52.64036774
132,2008-02-21 00:30:00+07:00,1348.39,1348.39,1336.55,1341.98,234,213.45,1346.576292,-0.239777429,0.746041717,0.985819146,44.6888287,51.7386579
133,2008-02-21 01:30:00+07:00,1342.16,1344.5,1339.17,1343.03,233,213.4,1346.370112,-0.774754413,0.017376131,0.792130543,45.38707528,50.68692645
134,2008-02-21 02:30:00+07:00,1342.88,1354.03,1340.57,1351.65,235,213.55,1346.303034,-0.526567156,0.133921599,0.660488754,50.87037586,49.85101292
135,2008-02-21 03:30:00+07:00,1351.47,1356.36,1350.54,1355.66,156,213.45,1346.357865,-0.093517389,0.543592018,0.637109407,53.22324874,49.73679441
136,2008-02-22 00:30:00+07:00,1362.21,1367.94,1358.67,1361.06,231,213.25,1346.47236,0.521619131,1.289133321,0.76751419,56.26103749,49.70354102
137,2008-02-22 01:30:00+07:00,1361.76,1361.85,1352.79,1356.24,238,213.35,1346.596854,0.565232228,1.474054475,0.908822247,52.9552531,49.88674107
138,2008-02-22 02:30:00+07:00,1356.79,1359.38,1351.13,1352.32,228,213.15,1346.874494,0.304486864,1.289430827,0.984943963,50.36342749,50.21879738
139,2008-02-22 03:30:00+07:00,1352.24,1353.61,1350.38,1351.45,155,213.3,1347.169438,0.060594103,1.060686591,1.000092489,49.78108436,50.62248569
140,2008-02-23 00:30:00+07:00,1344.22,1348.22,1333.97,1336.28,234,213.4,1347.273146,-1.07268121,-0.340759024,0.731922186,40.90047048,50.55054867
141,2008-02-23 01:30:00+07:00,1336.96,1336.96,1330.76,1335.27,236,213.45,1347.611573,-1.797893135,-1.515444233,0.282448902,40.38392608,50.46320123
142,2008-02-23 02:30:00+07:00,1335.78,1337.63,1328.98,1330.05,236,213.55,1347.859551,-2.493896629,-2.834921884,-0.341025255,37.7316487,49.07415416
143,2008-02-23 03:30:00+07:00,1330.37,1332.64,1328.33,1331.22,156,213.65,1348.122247,-2.721628224,-3.743060534,-1.021432311,38.70338172,48.05573239
144,2008-02-26 00:30:00+07:00,1352.75,1358.18,1346.03,1358.18,239,213.75,1348.586067,-0.991857307,-2.261253944,-1.269396637,55.81449102,48.0188097
145,2008-02-26 01:30:00+07:00,1358.32,1362.91,1356.27,1360.05,237,213.9,1349.248315,0.27523627,-0.9253513,-1.20058757,56.71702824,48.12723409
146,2008-02-26 02:30:00+07:00,1360.04,1360.04,1351.81,1353.32,231,214.1,1349.909101,0.636450286,-0.405024712,-1.041474998,52.55631035,48.68919707
147,2008-02-26 03:30:00+07:00,1353.47,1358.3,1352.35,1357.03,151,213.95,1350.679663,1.07574692,0.303208651,-0.772538269,54.53630083,49.34271318
148,2008-02-27 00:30:00+07:00,1371.76,1371.76,1363.89,1365.82,235,214.0,1351.667191,1.862697457,1.555833552,-0.306863904,58.91156148,49.91708358
149,2008-02-27 01:30:00+07:00,1365.72,1374.11,1363.29,1373.69,231,213.85,1352.028989,2.763339763,3.147310799,0.383971036,62.40048865,50.57260071
150,2008-02-27 02:30:00+07:00,1373.59,1385.57,1373.0,1383.62,230,213.95,1352.431798,3.813194886,5.150464644,1.337269758,66.28996126,51.28895241
151,2008-02-27 03:30:00+07:00,1383.66,1387.34,1381.01,1385.03,156,214.1,1352.914045,4.349121035,6.773671051,2.424550016,66.81489711,52.27892698
152,2008-02-28 00:30:00+07:00,1378.95,1380.38,1372.0,1374.24,238,214.3,1353.309101,3.746344298,7.107480389,3.361136091,59.21565108,52.91122867
153,2008-02-28 01:30:00+07:00,1373.5,1388.34,1373.5,1383.44,239,214.6,1353.597978,3.72862563,8.021918128,4.293292499,63.07222297,53.86059571
154,2008-02-28 02:30:00+07:00,1384.3,1387.98,1383.31,1384.19,234,214.55,1354.018202,3.530781315,8.706769142,5.175987827,63.37626155,55.46600936
155,2008-02-28 03:30:00+07:00,1384.02,1387.65,1383.83,1386.64,156,214.55,1354.430112,3.330851723,9.339552481,6.008700758,64.40718719,57.18195658
156,2008-02-29 00:30:00+07:00,1378.16,1378.16,1368.04,1374.7,236,214.8,1354.828764,2.214167894,8.776410625,6.562242731,56.11670557,58.49517493
157,2008-02-29 01:30:00+07:00,1374.44,1376.88,1365.36,1366.32,235,214.65,1355.176292,0.803563026,7.566696514,6.763133488,51.14116346,59.38358791
158,2008-02-29 02:30:00+07:00,1365.65,1367.29,1363.16,1366.75,229,214.7,1355.477416,-0.15691748,6.566986638,6.723904118,51.37938324,59.0667945
