,time,open,high,low,close,Volume,Volume MA,MA,Histogram,MACD,Signal,RSI,RSI-based MA
88,2021-01-04 23:00:00+07:00,31745.71,31920.0,30723.0,31320.31,8174.285783,6366.781023,31316.63955,-88.02418387,-420.2936497,-332.2694659,42.04007578,42.63171014
89,2021-01-05 00:00:00+07:00,31320.3,31523.01,30626.36,31024.17,4962.562729,6508.75576,31339.43775,-92.34898529,-447.7056975,-355.3567122,39.87828771,41.49583243
90,2021-01-05 01:00:00+07:00,31022.25,31465.44,31001.0,31165.16,3361.43987,6534.776099,31359.15876,-77.9812289,-452.8332483,-374.8520194,41.42267106,40.70755841
91,2021-01-05 02:00:00+07:00,31165.16,31855.75,31104.99,31665.51,3388.372221,6450.31668,31386.92124,-29.53927026,-411.7761072,-382.236837,46.6593105,40.6802389
92,2021-01-05 03:00:00+07:00,31665.52,31830.95,31210.0,31244.97,2850.963087,6353.254493,31409.01753,-20.98139177,-408.4635767,-387.4821849,43.1664032,40.15003839
93,2021-01-05 04:00:00+07:00,31244.97,31579.0,30856.08,31014.27,3202.456127,6343.876106,31429.17438,-25.70773403,-419.6168525,-393.9091184,41.33819674,40.23303104
94,2021-01-05 05:00:00+07:00,31014.27,31474.78,30950.0,31332.05,1646.484138,6267.182774,31453.27596,-3.451300438,-398.223244,-394.7719435,44.80585308,40.57825957
95,2021-01-05 06:00:00+07:00,31332.05,32031.01,31150.0,31988.71,4193.648728,6318.154753,31484.89798,56.1850914,-324.5405793,-380.7256707,51.22237885,41.91914769
96,2021-01-05 07:00:00+07:00,31989.75,32853.38,31989.74,32430.49,7707.64341,6545.18546,31522.39978,122.2830819,-227.8718183,-350.1549002,55.01166184,43.84109224
97,2021-01-05 08:00:00+07:00,32430.69,32796.0,32224.25,32786.06,4246.96065,6557.998449,31564.93966,183.1856827,-121.1727968,-304.3584795,57.84983842,45.54735009
98,2021-01-05 09:00:00+07:00,32786.05,32828.26,32221.1,32306.64,3163.430044,6477.731705,31599.8209,183.9346706,-74.44014125,-258.3748119,52.99525297,46.5236432
99,2021-01-05 10:00:00+07:00,32306.64,32536.09,31130.86,31200.0,5695.044496,6288.865088,31622.02517,106.4943367,-125.256891,-231.7512277,43.84827885,46.7070504
100,2021-01-05 11:00:00+07:00,31190.04,31538.45,30418.0,30858.98,7229.486366,6323.876744,31639.39022,32.72335857,-190.8470295,-223.5703881,41.47274392,46.21628079
101,2021-01-05 12:00:00+07:00,30858.98,31366.16,29900.0,30436.25,6366.976124,6078.630724,31652.90438,-40.16966635,-273.782471,-233.6128046,38.67560589,45.74189706
102,2021-01-05 13:00:00+07:00,30436.26,31270.43,29900.0,31123.25,6611.210735,5440.349701,31671.53876,-37.77930352,-280.836934,-243.0576305,45.15009305,45.96404115
103,2021-01-05 14:00:00+07:00,31123.25,31312.03,30759.47,30817.77,2811.383953,5110.244396,31688.27955,-51.57972682,-307.532289,-255.9525622,42.97728285,46.18539794
104,2021-01-05 15:00:00+07:00,30817.78,31522.19,30817.78,31192.09,3237.120957,4856.256402,31710.78989,-31.30397169,-295.0825268,-263.7785552,46.38227753,46.53965555
105,2021-01-05 16:00:00+07:00,31192.16,31821.94,31157.9,31569.63,3935.597979,4779.303562,31736.28494,9.544024272,-251.8485248,-261.3925491,49.64807488,46.75313872
106,2021-01-05 17:00:00+07:00,31569.63,31687.11,31088.33,31345.77,3174.760396,4564.072402,31761.74708,22.74328701,-232.9634403,-255.7067273,47.78937022,47.08335065
107,2021-01-05 18:00:00+07:00,31347.73,31777.0,31284.15,31776.66,2908.121768,4443.397478,31792.12865,59.65371109,-181.1395885,-240.7932996,51.54932327,47.81271683
108,2021-01-05 19:00:00+07:00,31776.66,32057.13,31563.84,31585.01,4161.551334,4242.760756,31820.84742,69.62591499,-153.7609058,-223.3868208,49.83044413,48.17161619
109,2021-01-05 20:00:00+07:00,31585.0,31900.0,31416.27,31460.01,2523.023165,4120.783777,31846.23,66.28576072,-140.5296199,-206.8153806,48.6900667,47.99073675
110,2021-01-05 21:00:00+07:00,31460.11,32375.07,31111.78,32342.33,5942.102854,4249.816927,31881.98213,118.9105051,-58.17724925,-177.0877544,56.29336487,48.08228697
111,2021-01-05 22:00:00+07:00,32343.61,32374.31,31929.41,32099.98,3616.599016,4261.228266,31913.86596,131.8094546,-12.32593606,-144.1353907,53.92946922,47.8022606
112,2021-01-05 23:00:00+07:00,32099.97,32670.0,31763.23,32469.9,4926.171616,4364.988693,31949.12674,157.9060819,53.24721172,-104.6588702,56.90425026,48.08147469
113,2021-01-06 00:00:00+07:00,32469.9,32790.0,32254.18,32742.73,3599.645718,4384.848172,31988.96101,184.3507728,125.7795958,-58.57117702,59.00664494,49.16421512
114,2021-01-06 01:00:00+07:00,32742.73,33433.55,32650.03,33372.84,6647.009921,4634.874461,32034.05506,232.0079509,231.4387616,-0.569189288,63.44238961,50.73347553
115,2021-01-06 02:00:00+07:00,33372.83,34187.09,33098.82,33697.75,8659.338503,4858.15895,32083.20034,270.4564931,337.5014271,67.04493398,65.51453647,52.650542
